Name,Current Price,Sale Price,Market Cap,Raised,ROI Usd,Ath ROI,Type,Tge Platform,Ended,Time of Crawl
METADOGE MTDU,-,-,-,"$20,000 ",-,-,IDO,Kingdom Game 4.0,18-Aug,2022/11/12
Monsterra MSTR,-,$0.20 ,-,"$92,000 ",-,-,IDO,Red Kite,16-Aug,2022/11/12
Monsterra MSTR,-,$0.20 ,-,"$131,000 ",-,-,IDO,GameFi,16-Aug,2022/11/12
Monsterra MSTR,-,$0.20 ,-,"$150,000 ",-,-,IDO,Poolz,16-Aug,2022/11/12
DEFY DEFY,-,$0.02 ,-,"$200,000 ",-,-,IDO,Polkastarter,15-Aug,2022/11/12
GEMS - Esports 3.0 Platform GEMS,-,$0 ,-,"$100,000 ",-,-,IDO,Polkabridge,27-Jul,2022/11/12
GEMS - Esports 3.0 Platform GEMS,-,$0 ,-,"$100,000 ",-,-,IDO,Kommunitas,26-Jul,2022/11/12
GEMS - Esports 3.0 Platform GEMS,-,$0 ,-,"$100,000 ",-,-,IDO,Polkabridge,21-Jul,2022/11/12
MCity MCT,-,$0.01 ,-,"$300,000 ",-,-,IDO,BSCStation,18-Jul,2022/11/12
