,游戏名称,代币名称,区块链,代币地址,游戏类型,运行平台,代币价格,24小时涨跌,代币总价值,游戏市值,设立奖学金的公会,公会合作游戏数量,爬取时间
190,HeroFi,HEROEGG,bsc,0xcfbb1bfa710cb2eba070cc3bec0c35226fea4baf,"RPG, Idle Game","windows,browser,mac,linux",$0.00 ,0.58%,$27 ,"$249,667 ",,,2022/11/12
191,Playermon,PYM,polygon,0x0bd49815ea8e2682220bcb41524c0dd10ba71d41,"Breeding, Collectible, PVP",browser,$0.00 ,5.89%,"$14,723 ","$242,062 ",,,2022/11/12
192,Metaverse Miner,META,bsc,0x26165a5a3dd21fa528becf3ff7f114d00a517344,"VR, Collectible, Mining",browser,$0 ,4.53%,$373 ,"$238,021 ",,,2022/11/12
193,Hero Blaze: Three Kingdoms,MUDOL2,bsc,NoAddress,"RPG, Casual","android,ios",$0.02 ,5.79%,"$4,479 ","$236,096 ",,,2022/11/12
194,KingdomX,KT,bsc,0x52da44b5e584f730005dac8d2d2acbdee44d4ba3,"Strategy, Action","browser,mobile",$0.00 ,-0.33%,"$9,134 ","$235,723 ",MetaGaming Guild,41,2022/11/12
194,KingdomX,KT,bsc,0x52da44b5e584f730005dac8d2d2acbdee44d4ba3,"Strategy, Action","browser,mobile",$0.00 ,-0.33%,"$9,134 ","$235,723 ",Good Games Guild,77,2022/11/12
195,Cryptomeda,TECH,ethereum,0x6286a9e6f7e745a6d884561d88f94542d6715698,"Collectible, DeFi, Fantasy",browser,$0.00 ,1.99%,"$19,839 ","$235,465 ",,,2022/11/12
196,FoxGirl,FOXGIRL,bsc,0x599beec263fa6ea35055011967597b259fc012a4,Collectible,browser,$0 ,2.49%,$758 ,"$233,337 ",,,2022/11/12
197,Imperium Empires,IME,avalanche,0xf891214fdcf9cdaa5fdc42369ee4f27f226adad6,"Space Game, MMO","browser,pc",$0.00 ,-0.56%,"$17,172 ","$232,584 ",,,2022/11/12
198,DragonKart,KART,bsc,0x8bdd8dbcbdf0c066ca5f3286d33673aa7a553c10,"Fighting, Racing",pc,$0.01 ,5.21%,"$12,163 ","$232,174 ",Bayz,31,2022/11/12
199,Ethermon,EMON,ethereum,0xd6a5ab46ead26f49b03bbb1f9eb1ad5c1767974a,"Adventure, Battle Royale, Metaverse",mobile,$0.00 ,8.18%,"$48,366 ","$230,583 ",,,2022/11/12
200,MetaGods,MGOD,bsc,0x10a12969cb08a8d88d4bfb5d1fa317d41e0fdab3,RPG,mobile,$0.02 ,-1.99%,"$1,073 ","$230,460 ",MetaGaming Guild,41,2022/11/12
200,MetaGods,MGOD,bsc,0x10a12969cb08a8d88d4bfb5d1fa317d41e0fdab3,RPG,mobile,$0.02 ,-1.99%,"$1,073 ","$230,460 ",Good Games Guild,77,2022/11/12
200,MetaGods,MGOD,bsc,0x10a12969cb08a8d88d4bfb5d1fa317d41e0fdab3,RPG,mobile,$0.02 ,-1.99%,"$1,073 ","$230,460 ",PathDAO,39,2022/11/12
200,MetaGods,MGOD,bsc,0x10a12969cb08a8d88d4bfb5d1fa317d41e0fdab3,RPG,mobile,$0.02 ,-1.99%,"$1,073 ","$230,460 ",Play It Forward DAO,25,2022/11/12
200,MetaGods,MGOD,bsc,0x10a12969cb08a8d88d4bfb5d1fa317d41e0fdab3,RPG,mobile,$0.02 ,-1.99%,"$1,073 ","$230,460 ",Earn Guild,68,2022/11/12
200,MetaGods,MGOD,bsc,0x10a12969cb08a8d88d4bfb5d1fa317d41e0fdab3,RPG,mobile,$0.02 ,-1.99%,"$1,073 ","$230,460 ",Avocado DAO,33,2022/11/12
201,DeFi Warrior,FIWA,bsc,0x633237c6fa30fae46cc5bb22014da30e50a718cc,Other,"android,ios,browser",$0 ,-0.49%,"$9,157 ","$224,850 ",Blockchain Space,36,2022/11/12
202,Demole,DMLG,bsc,0x1c796c140de269e255372ea687ef7644bab87935,RPG,"android,ios,mobile",$0.00 ,0.16%,"$5,999 ","$221,866 ",MetaGaming Guild,41,2022/11/12
202,Demole,DMLG,bsc,0x1c796c140de269e255372ea687ef7644bab87935,RPG,"android,ios,mobile",$0.00 ,0.16%,"$5,999 ","$221,866 ",Good Games Guild,77,2022/11/12
202,Demole,DMLG,bsc,0x1c796c140de269e255372ea687ef7644bab87935,RPG,"android,ios,mobile",$0.00 ,0.16%,"$5,999 ","$221,866 ",Avocado DAO,33,2022/11/12
203,Ninneko,NINO,bsc,0x6cad12b3618a3c7ef1feb6c91fdc3251f58c2a90,"Breeding, RPG, Idle Game","android,ios,browser",$0.00 ,1.33%,"$7,596 ","$217,502 ",Bayz,31,2022/11/12
204,Rage.Fan,RAGE,ethereum,0xd38c1b7b95d359978996e01b8a85286f65b3c011,Sports,browser,$0.00 ,-1.35%,"$14,398 ","$213,897 ",Earn Guild,68,2022/11/12
205,Dexioprotocol,DEXI,bsc,NoAddress,AR,browser,$0 ,0%,$173 ,"$211,564 ",,,2022/11/12
206,Clementine's Nightmare,INK,qtum,NoAddress,"Adventure, Sci-Fi, Action",browser,$0.00 ,4.55%,"$33,947 ","$202,639 ",,,2022/11/12
207,Zuki Moba,ZUKI,polygon,0xe81257d932280ae440b17afc5f07c8a110d21432,"Battle Royale, MOBA",android,$0.00 ,4.06%,$354 ,"$196,493 ",YGG Sea,40,2022/11/12
208,GridZone.io,ZONE,ethereum,0xc1d9b5a0776d7c8b98b8a838e5a0dd1bc5fdd53c,"Metaverse, Collectible",browser,$0.04 ,-1.45%,"$4,817 ","$194,143 ",,,2022/11/12
209,Fight Of The Ages,FOTA,bsc,0x0A4E1BdFA75292A98C15870AeF24bd94BFFe0Bd4,RPG,"android,ios,windows,mac",$0.03 ,0%,"$19,443 ","$193,221 ",Merit Circle,34,2022/11/12
210,My Master War,MAT,bsc,0xf3147987a00d35eecc10c731269003ca093740ca,RPG,"android,ios,browser",$0.01 ,2.50%,"$21,272 ","$192,396 ",,,2022/11/12
211,PlayNity,PLY,terra,0x5f39dd1bb6db20f3e792c4489f514794cac6392c,Metaverse,browser,$0.00 ,-2.20%,$947 ,"$190,539 ",,,2022/11/12
212,Toshimon,TOSHI,ethereum,NoAddress,"Battle Royale, PVP",browser,$3.66 ,-,$220 ,"$187,354 ",,,2022/11/12
213,MOVEY,MOVEY,bsc,0x2b511aa476213e9081dd6a59a3739f0cb9d01162,Move To Earn,"android,ios",$0.02 ,5.25%,$19 ,"$185,982 ",,,2022/11/12
214,Samurai Legends,SMG,bsc,0x3ca994d9f723736381d44388bc8dd1e7ee8c1653,"Card Game, Strategy, Metaverse",browser,$0.00 ,18.72%,"$7,742 ","$183,661 ",,,2022/11/12
215,ChainWars,CWE,bsc,0x9c6b7221cdda3b8136fbf9d27ac07aeecc1087b5,"Card Game, Collectible",browser,$0.00 ,-2.03%,"$5,012 ","$180,430 ",,,2022/11/12
216,ProjectOasis,OASIS,bsc,0xb19289b436b2f7a92891ac391d8f52580d3087e4,"Adventure, Strategy, Metaverse, Casual",browser,$0.05 ,5.16%,$376 ,"$178,236 ",,,2022/11/12
217,The Three Kingdoms,TTK,bsc,0x39703a67bac0e39f9244d97f4c842d15fbad9c1f,Strategy,browser,$0.00 ,1.30%,"$10,170 ","$169,352 ",Good Games Guild,77,2022/11/12
218,DopeWarz,DRUG,bsc,0x27e2a0e643c7f17959f84c345d2123b77bbd412c,"Simulation, Strategy",pc,$0.00 ,14.60%,"$2,402 ","$169,168 ",,,2022/11/12
219,TaleCraft,CRAFT,avalanche,0x8ae8be25c23833e0a01aa200403e826f611f9cd2,"Card Game, Strategy, Arcade",browser,$0.02 ,15.26%,"$39,382 ","$167,182 ",,,2022/11/12
220,Zodium,ZODI,bsc,0x0cca2f5561bb0fca88e5b9b48b7fbf000349c357,"Card Game, Metaverse, Collectible",browser,$0.00 ,5.94%,"$17,387 ","$165,441 ",GuildFi,25,2022/11/12
221,Crypto Fight Club,FIGHT,bsc,0x4f39c3319188a723003670c3f9b9e7ef991e52f3,"Collectible, PVP",browser,$0.00 ,-15.14%,"$31,234 ","$157,213 ",,,2022/11/12
222,Playcent,PCNT,ethereum,0xe9b9c1c38dab5eab3b7e2ad295425e89bd8db066,Casual,"android,ios",$0.01 ,-0.25%,"$23,677 ","$154,632 ",,,2022/11/12
223,MoveCash,MCA,bsc,0xf3dbdf718667874e19ef368721a10409345fc218,Move To Earn,"android,ios",$0.01 ,-,$4 ,"$150,360 ",,,2022/11/12
224,Rune,RUNE,bsc,0xa9776b590bfc2f956711b3419910a5ec1f63153e,RPG,browser,$30.03 ,0.17%,$15 ,"$149,271 ",,,2022/11/12
225,Metarun,MRUN,bsc,0xca0d640a401406f3405b4c252a5d0c4d17f38ebb,"Adventure, Racing, Collectible","android,ios,browser",$0.00 ,-1.70%,"$21,755 ","$143,271 ",,,2022/11/12
226,Legend Of Fantasy War,LFW,bsc,0xd71239a33c8542bd42130c1b4aca0673b4e4f48b,"RPG, Turn-based Strategy","android,ios,browser,mobile",$0.01 ,1.03%,"$145,749 ","$137,370 ",Good Games Guild,77,2022/11/12
227,KingSpeed,KSC,bsc,0x3ac0f8cecc1fb0ee6c2017a072d52e85b00c6694,"Adventure, Racing, Action",browser,$0.00 ,-0.58%,$120 ,"$135,051 ",Good Games Guild,77,2022/11/12
228,CropBytes,CBX,"ethereum,tron",NoAddress,"Breeding, Simulation, Base Building","android,ios,browser",$0.12 ,-4.91%,$13 ,"$134,439 ",,,2022/11/12
229,TradeStars,TSX,ethereum,0x270388e0ca29cfd7c7e73903d9d933a23d1bab39,"Fantasy, Football Game","android,ios,browser",$0.01 ,-0.88%,"$15,463 ","$130,024 ",,,2022/11/12
230,GamyFi,GFX,ethereum,0x65ad6a2288b2dd23e466226397c8f5d1794e58fc,Other,browser,$0.04 ,0.57%,"$14,716 ","$128,114 ",,,2022/11/12
231,Ghospers Game,GHSP,bsc,0x4a0cc0876ec16428a4fa4a7c4c300de2db73b75b,"Breeding, Fighting, PVP",browser,$0.00 ,7.82%,"$1,492 ","$127,038 ",,,2022/11/12
232,MoonieNFT,MNY,ethereum,0xa6f7645ed967faf708a614a2fca8d4790138586f,"Racing, DeFi, Minigame","android,ios,browser",$0 ,0.79%,"$69,253 ","$124,091 ",,,2022/11/12
233,Block Ape Scissors,BAS,ethereum,0x106538cc16f938776c7c180186975bca23875287,"Card Game, Turn-based Strategy, PVP",browser,$0.30 ,3.78%,"$18,885 ","$121,798 ",,,2022/11/12
234,DeathRoad,DRACE,bsc,0xa6c897caaca3db7fd6e2d2ce1a00744f40ab87bb,Racing,"android,ios",$0.00 ,0.45%,$609 ,"$118,711 ",,,2022/11/12
235,Aluna Social,ALN,ethereum,0x8185bc4757572da2a610f887561c32298f1a5748,Other,browser,$0.00 ,4.43%,"$51,362 ","$103,010 ",,,2022/11/12
236,Avaxtars,AVXT,avalanche,NoAddress,"Metaverse, PVP, Battle Royale",browser,$0.00 ,10.90%,$309 ,"$94,939 ",,,2022/11/12
237,Lunaverse,LUV,terra,terra15k5r9r8dl8r7xlr29pry8a9w7sghehcnv5mgp6,"Base Building, VR, Virtual-World","browser,pc",$0.00 ,-,"$1,151 ","$91,665 ",,,2022/11/12
238,Ark Of The Universe,ARKS,bsc,NoAddress,"Metaverse, PVP",browser,$0.00 ,7.87%,"$1,394 ","$89,469 ",,,2022/11/12
239,Phantasia Sports,FANT,solana,FANTafPFBAt93BNJVpdu25pGPmca3RfwdsDsRrT3LX1r,Football Game,browser,$0.00 ,-26.88%,"$2,044 ","$88,886 ",,,2022/11/12
240,BFK Warzone,BFK,bsc,NoAddress,Combat,"android,ios,windows,browser,mac",$0.00 ,7%,"$2,186 ","$82,995 ",,,2022/11/12
241,Idle Mystic,MST,polygon,0xa353deb6fb81df3844d8bd614d33d040fdbb8188,"Fighting, Idle Game, DeFi","android,ios,windows",$0.00 ,-,$1 ,"$76,951 ",,,2022/11/12
242,Soccer Hub,SCH,bsc,0xe485b2780c3822a62da88857fd6481018ea8cb95,Sports,android,$0.00 ,0.95%,$521 ,"$75,614 ",,,2022/11/12
243,Genesis Worlds,GENESIS,polygon,0x51869836681bce74a514625c856afb697a013797,Metaverse,browser,$0.00 ,6.57%,$59 ,"$73,828 ",,,2022/11/12
244,MetaWars,WARS,bsc,0x50e756a22ff5cee3559d18b9d9576bc38f09fa7c,Strategy,browser,$0.00 ,-3.48%,"$17,631 ","$73,811 ",Earn Guild,68,2022/11/12
245,Adamant Mine,ADMC,bsc,0xa55ef2fb2b7b6a60371fd3def9b806e74a48be69,Minigame,browser,$0 ,1.33%,-,"$69,632 ",,,2022/11/12
246,Infinity Skies,ISKY,polygon,0x5dfd5edfde4d8ec9e632dca9d09fc7e833f74210,"RPG, Adventure, Base Building",browser,$0.00 ,0.03%,"$41,746 ","$67,484 ",Good Games Guild,77,2022/11/12
247,RisingSun,RSUN,bsc,0x917841c010b3d86ed886f36f2c9807e07a2e3093,"Action, Base Building",browser,$0 ,-,$7 ,"$56,849 ",,,2022/11/12
248,Luna Rush,LUS,bsc,0xde301d6a2569aefcfe271b9d98f318baee1d30a4,"RPG, Idle Game, Strategy","android,ios,browser",$0.00 ,4.06%,"$52,836 ","$56,464 ",Bayz,31,2022/11/12
249,Werewolves,WOLF,polygon,0x8f18dc399594b451eda8c5da02d0563c0b2d0f16,"Adventure, MMORPG",browser,$0 ,15.18%,$358 ,"$54,807 ",,,2022/11/12
250,SolChicks Shards,SHARDS,solana,NoAddress,"Fantasy, PVP, Battle Royale",browser,$0.00 ,-3.93%,$702 ,"$52,457 ",,,2022/11/12
251,GameX,GMX,bsc,0xc62ef0d8e137499833abb05dee47007d2b334ba6,"Metaverse, VR",browser,$0 ,0.08%,-,"$48,843 ",,,2022/11/12
252,DFSocial Gaming,DFSG,bsc,0x612c49b95c9121107be3a2fe1fcf1efc1c4730ad,Other,browser,$0.00 ,5.49%,$272 ,"$40,529 ",,,2022/11/12
253,Ulti Arena,ULTI,bsc,0x42bfe4a3e023f2c90aebffbd9b667599fa38514f,Other,"browser,mobile",$0 ,6%,$75 ,"$40,149 ",,,2022/11/12
254,Crusaders Of Crypto,CRUSADER,bsc,0x6289812163af9421e566b3d74774074fac2a0441,"RPG, Arcade",browser,$0 ,-,$8 ,"$40,083 ",,,2022/11/12
255,APEmove,APE,bsc,NoAddress,"Adventure, Move To Earn, Sports","ios,android",$0.02 ,-3.52%,$174 ,"$40,044 ",,,2022/11/12
256,Graviton Zero,GRAV,bsc,0xa6168c7e5eb7c5c379f3a1d7cf1073e09b2f031e,"Simulation, RPG, Space Game, Metaverse","android,ios,browser",$0.00 ,9.18%,"$3,406 ","$39,879 ",,,2022/11/12
257,1000Blocks,BLS,bsc,0x34aa9099d924f3fb2377ff20d81b235311c15346,"Strategy, DeFi",browser,$0.00 ,-1.03%,$87 ,"$39,866 ",,,2022/11/12
258,DarleyGo,DGE,solana,AAXng5czWLNtTXHdWEn9Ef7kXMXEaraHj2JQKo7ZoLux,"Breeding, Racing, Collectible","android,ios,browser",$0.00 ,2.74%,$129 ,"$38,873 ",Avocado DAO,33,2022/11/12
259,Binapet,BPET,bsc,0x24d787e9b88cb62d74e961c1c1d78e4ee47618e5,"Breeding, RPG, DeFi",browser,$0.00 ,5.27%,$16 ,"$37,148 ",,,2022/11/12
260,Battle Saga,BTL,bsc,0x708955db0d4c52ffbf9aa34af7f3ca8bf07390a8,"Strategy, Action, Tower Defense","android,ios,browser",$0.00 ,1.90%,"$22,865 ","$30,714 ",Earn Guild,68,2022/11/12
261,WidiLand,WIDI,bsc,0xa361c79783833524dc7838399a4862b5f47038b8,"Breeding, MMO",browser,$0.00 ,7.63%,"$11,746 ","$30,514 ",,,2022/11/12
262,Metafluence,METO,bsc,0xa78775bba7a542f291e5ef7f13c6204e704a90ba,Metaverse,browser,$0.00 ,3.39%,"$90,464 ","$29,766 ",,,2022/11/12
263,Operon Origins,ORO,bsc,0xfc4f5a4d1452b8dc6c3cb745db15b29c00812b19,"Card Game, Collectible, Combat","browser,mobile",$0.00 ,3.78%,"$8,644 ","$27,430 ",,,2022/11/12
264,NFT Soccer Games,NFSG,avalanche,0xf69c2fcd9128d49dfa22348c69177f9380438eb8,Football Game,"android,ios,browser",$0.25 ,4.10%,$5 ,"$22,791 ",,,2022/11/12
265,CryptoTycoon,CTT,bsc,0x464863745ed3af8b9f8871f1082211c55f8f884d,"Simulation, Mining",browser,$0.29 ,-2.31%,"$23,914 ","$22,689 ",,,2022/11/12
266,Crystal Kingdoms,CKG,bsc,0xcd32a0e26b3a87a064476b2c9e5e691df9ca063a,"RPG, Adventure, Action","windows,browser,mac,mobile",$0.05 ,-,$2 ,"$16,118 ",,,2022/11/12
267,Azuma Games,AZUM,ethereum,0xd26a9c3437f7d121098c8c05c7413f5cc70bb070,Action,browser,$0 ,3.13%,$5 ,"$8,903 ",,,2022/11/12
268,Meeb Master,MEEB,polygon,0x64afdf9e28946419e325d801fb3053d8b8ffdc23,Turn-based Strategy,browser,$0.01 ,3.52%,$549 ,"$7,245 ",,,2022/11/12
269,Chain Myth,MYTH,ethereum,0xa12d7e5319f5b43476ef19d1569e10097cacdfe2,"MMORPG, MOBA, Shooter","windows,mac,linux",$0 ,-,$35 ,"$6,642 ",,,2022/11/12
270,World Of Defish,WOD,bsc,0x298632d8ea20d321fab1c9b473df5dbda249b2b6,Card Game,pc,$0.00 ,-3.13%,"$2,129 ","$5,201 ",Good Games Guild,77,2022/11/12
270,World Of Defish,WOD,bsc,0x298632d8ea20d321fab1c9b473df5dbda249b2b6,Card Game,pc,$0.00 ,-3.13%,"$2,129 ","$5,201 ",Blockchain Space,36,2022/11/12
271,Black Eye Galaxy,BYG,bsc,0x4f7b627b88651e3dddca0240bca68a3062632c8c,"Space Game, Metaverse",browser,$0 ,-,$77 ,"$4,672 ",,,2022/11/12
272,MechaChain,MECHA,aurora,0xa33c3b53694419824722c10d99ad7cb16ea62754,"Fighting, Action, Space Game","android,ios",$0.00 ,-,-,"$2,232 ",,,2022/11/12
273,Bountie Hunter,BOUNTIE,bsc,0x00f80a8f39bb4d04a3038c497e3642bf1b0a304e,Other,browser,$0.00 ,8.69%,$45 ,"$2,085 ",PathDAO,39,2022/11/12
274,FuruKuru,FUKU,bsc,0xec181b5f1d7b069192a3554bde509728b16d5d73,Racing,browser,$0 ,-,$12 ,$828 ,,,2022/11/12
275,Mobland,SYNR,ethereum,0xbc6e06778708177a18210181b073da747c88490a,"Fighting, Action, Metaverse",browser,$0.01 ,-1.75%,"$112,858 ",-,Yield Guild Games,41,2022/11/12
275,Mobland,SYNR,ethereum,0xbc6e06778708177a18210181b073da747c88490a,"Fighting, Action, Metaverse",browser,$0.01 ,-1.75%,"$112,858 ",-,Perion,9,2022/11/12
276,Crypto Gangsters,CGANG,bsc,0x73cb0a3baac136a5577e058961fa3afd86ac1b0e,"Card Game, Adventure, PVP",browser,$0.00 ,1.51%,$3 ,-,,,2022/11/12
277,GoldMiner,GM,bsc,NoAddress,"DeFi, Shooter",browser,$0 ,2.43%,"$12,426 ",-,,,2022/11/12
278,99Starz,STZ,ethereum,0x7fe378c5e0b5c32af2ecc8829bedf02245a0e4ef,Collectible,browser,$0.06 ,10.24%,"$139,721 ",-,,,2022/11/12
279,Crypto Citizen,CCASH,bsc,0xd36bb7849a8c50b509bae872f44d5c1c7dc0e96c,"PVP, MMORPG, Battle Royale, Shooter",pc,-,-,-,-,Blockchain Space,36,2022/11/12
279,Crypto Citizen,CCASH,bsc,0xd36bb7849a8c50b509bae872f44d5c1c7dc0e96c,"PVP, MMORPG, Battle Royale, Shooter",pc,-,-,-,-,UniX Gaming,36,2022/11/12
280,ConeGame,CONEGAME,bsc,NoAddress,Arcade,browser,$0 ,-,-,-,,,2022/11/12
281,Mimir Quiz,MIMIR,ethereum,0x336f5a68fd46a25056a6c1d9c06072c691486acc,"Turn-based Strategy, Puzzle, Casual","android,ios,browser",$0.00 ,2.61%,"$17,010 ",-,,,2022/11/12
282,Cryptoids Game Coin,CGC,bsc,NoAddress,Metaverse,"ios,android",$0 ,-,-,-,,,2022/11/12
283,Blade Warrior,BLADE,okexchain,0xa07403c1bd0c5cf53df07f15faa589241352527b,"Card Game, RPG",browser,$0.01 ,-0.16%,-,-,,,2022/11/12
284,11Minutes,ELVN,bsc,0x1c7e44543e0fff4a9c4c5561c3fdba3d6227c657,Minigame,browser,-,-,-,-,,,2022/11/12
285,ManuFactory,MNFT,bsc,0x36953b5ec00a13edceceb3af258d034913d2a79d,"Strategy, Survival, Base Building","windows,browser",$0.00 ,-14.89%,"$16,181 ",-,,,2022/11/12
286,WAGMI DEFENSE,WAGMIGAMES,"ethereum,immutable-x",NoAddress,"PVP, Sci-Fi, Tower Defense","browser,android,ios",$0 ,11.45%,"$94,190 ",-,,,2022/11/12
287,Griffin Art,GART,bsc,0xd1ecfdd45c49057479c4ca95e045855370bc4f5b,"Collectible, PVP","android,ios,browser",$0 ,13.43%,"$2,100 ",-,,,2022/11/12
288,CryptoDiceHero,HRO,bsc,NoAddress,"Fighting, Combat","mobile,browser",$0.00 ,-,-,-,,,2022/11/12
289,Noa Game,NOA,ethereum,0x0fd3822072ad001aac1c90a09d9506f097f24458,"Card Game, Sci-Fi, Collectible",browser,$0.01 ,2.86%,"$146,480 ",-,,,2022/11/12
290,12 Legions,CTL,bsc,0x73bc158e84873888cfc8b617524eebb1cfce8d4e,"Breeding, RPG, Turn-based Strategy","android,ios,windows,browser",$0.00 ,4.02%,$26 ,-,MetaGaming Guild,41,2022/11/12
291,Attack Wagon,ATK,polygon,0xf868939ee81f04f463010bc52eab91c0839ef08c,"Adventure, Action, Space Game",browser,$0.00 ,11.08%,"$439,826 ",-,,,2022/11/12
292,Instinct Games,INSTINCT,bsc,0xc4eeb3199df249a6bce8ff706fe86c08c5f847d0,"Card Game, Collectible, DeFi",browser,$0.00 ,-,$32 ,-,,,2022/11/12
293,Dragon War,DRAW,solana,48AEwauAHsJibyt3WqjQ6EoHnFBcnyHASfo7vB2eCXPS,Turn-based Strategy,browser,$0.00 ,0.20%,$210 ,-,MetaGaming Guild,41,2022/11/12
293,Dragon War,DRAW,solana,48AEwauAHsJibyt3WqjQ6EoHnFBcnyHASfo7vB2eCXPS,Turn-based Strategy,browser,$0.00 ,0.20%,$210 ,-,Good Games Guild,77,2022/11/12
294,Orbitau,TAUM,bsc,0x02e22eb7f6e73ef313dd71248cd164b1bdc5aadd,"Turn-based Strategy, MMORPG",browser,$0.00 ,-0.15%,"$20,266 ",-,,,2022/11/12
295,Survival Game Online,SURV,bsc,0x1180c484f55024c5ce1765101f4efac1e7a3f6d4,"Action, Metaverse, Shooter",browser,$0.00 ,2.64%,"$36,423 ",-,,,2022/11/12
296,Hero Cat Key,HCK,bsc,NoAddress,"Fighting, Battle Royale, DeFi",browser,$0.04 ,-0.09%,$21 ,-,,,2022/11/12
297,Arker,ARKER,bsc,0x9c67638c4fa06fd47fb8900fc7f932f7eab589de,"RPG, Idle Game, Strategy",browser,$0.00 ,-2.79%,"$114,560 ",-,Good Games Guild,77,2022/11/12
298,More Than Gamers,MTG,bsc,0x68d10dfe87a838d63bbef6c9a0d0b44beb799dc1,"Battle Royale, Collectible",browser,$0.61 ,4.32%,"$24,399 ",-,,,2022/11/12
299,Sugar Kingdom,CANDY,bsc,0x03436fe878e33be3c8caebd205ebc04a66aa3248,"MMORPG, Puzzle, Casual",browser,$0.02 ,0.54%,$211 ,-,,,2022/11/12
300,Alpha Kombat,ALKOM,bsc,NoAddress,Combat,"pc,ios,android",$0 ,-,$948 ,-,,,2022/11/12
301,League Of Empires,LOE,enjin,NoAddress,"Strategy, Action, MMORPG","android,ios,browser",-,-,-,-,Good Games Guild,77,2022/11/12
302,Ark Rivals,ARKN,bsc,0xaa20c2e278d99f978989daa4460f933745f862d5,"Sci-Fi, Strategy","android,ios,browser",$0.00 ,-0.69%,"$4,233 ",-,MetaGaming Guild,41,2022/11/12
302,Ark Rivals,ARKN,bsc,0xaa20c2e278d99f978989daa4460f933745f862d5,"Sci-Fi, Strategy","android,ios,browser",$0.00 ,-0.69%,"$4,233 ",-,Good Games Guild,77,2022/11/12
303,FunFi,FNF,bsc,NoAddress,"Racing, Metaverse",browser,$0 ,15.79%,"$53,215 ",-,,,2022/11/12
304,Bored Battle Apes,BAPE,bsc,NoAddress,"PVP, Battle Royale, Metaverse",browser,$0 ,-,$14 ,-,,,2022/11/12
305,Mortal Wars,MWT,bsc,0x695247c0aebd3345eb2280acc3c991eddf18d5cc,"Adventure, Action, Battle Royale",browser,$0.00 ,-,$3 ,-,,,2022/11/12
306,X-Metaverse,XMETA,bsc,NoAddress,"Adventure, Strategy, Action",browser,$0.00 ,-1%,$365 ,-,,,2022/11/12
307,MosterIsland,MI,bsc,NoAddress,Adventure,browser,$0.00 ,-,$1 ,-,,,2022/11/12
308,WormFi,WORM,bsc,NoAddress,Other,browser,$0 ,-,$17 ,-,,,2022/11/12
309,Dogs Kombat,DK,bsc,NoAddress,"Fighting, Combat",browser,$0 ,-,$3 ,-,,,2022/11/12
310,MoneyTree,MONEY,bsc,0x2d5b21074d81ae888c01722ec0657f20521be893,"Metaverse, Collectible, DeFi, Minigame, PVP","browser,pc,mobile",$0 ,-5.48%,$6 ,-,,,2022/11/12
311,Spellfire,SPELLFIRE,ethereum,0xd6f28f15a5cafc8d29556393c08177124b88de0d,"Card Game, Turn-based Strategy",browser,$0.00 ,-1.28%,"$125,446 ",-,Good Games Guild,77,2022/11/12
312,Impostors,SUPER,elrond,SUPER-507aa6,"Action, Survival",browser,$0.01 ,5.70%,$422 ,-,,,2022/11/12
313,Spring Game,SPR,bsc,NoAddress,Arcade,browser,$0.90 ,-,"$70,410 ",-,,,2022/11/12
314,Alpha Kombat,ALKOM,bsc,NoAddress,Combat,"pc,ios,android",$0 ,-,$948 ,-,,,2022/11/12
315,Codyfight,CTOK,ethereum,0xf1acfb5d95bc090bc55d8ae58a8df4081d73e009,"Turn-based Strategy, Sci-Fi","android,browser",-,-,-,-,MetaGaming Guild,41,2022/11/12
316,Metroverse,MET,ethereum,0x1ffe8a8177d3c261600a8bd8080d424d64b7fbc2,"Strategy, Metaverse",browser,$0.11 ,5.55%,"$1,229 ",-,,,2022/11/12
317,Oceanland,OLAND,bsc,0xb0461d7e8212d311b842a58e9989ede849ac6816,Survival,browser,$0.01 ,8.83%,"$399,661 ",-,,,2022/11/12
318,MetaFighter,MF,bsc,0xbb6cdedac5cab4a420211a4a8e8b5dca879b31de,"Fighting, Arcade, PVP","android,ios,browser",$0.00 ,1.08%,"$20,272 ",-,,,2022/11/12
319,Pizza Game,PIZZA,avalanche,0x6121191018baf067c6dc6b18d42329447a164f05,"Idle Game, DeFi",browser,$0.00 ,4.31%,"$9,493 ",-,,,2022/11/12
320,Monster Saga,MTS,bsc,0xc3d1d24fab71e814445b42be5a646dc9caa97e14,"Card Game, Fighting, Collectible",browser,$0.00 ,-,$1 ,-,,,2022/11/12
321,Drawshop Kingdom Reverse Joystick,JOY,klaytn,NoAddress,"PVP, Strategy, Metaverse",browser,$0.03 ,4.66%,"$45,011 ",-,,,2022/11/12
322,Unobtainium,UNO,bsc,NoAddress,"AR, VR",browser,$0.01 ,0.20%,$4 ,-,,,2022/11/12
323,PolyGod,GULL,bsc,0xca830317146bfdde71e7c0b880e2ec1f66e273ee,"Fighting, PVP",browser,$0.01 ,4.35%,$214 ,-,,,2022/11/12
324,PiratesKing,PKT,bsc,NoAddress,Fighting,browser,$0.00 ,-1.11%,$13 ,-,,,2022/11/12
325,RoboHero,ROBO,terra,NoAddress,"RPG, PVP","android,ios",$0.00 ,-,-,-,,,2022/11/12
