,游戏名称,代币名称,区块链,代币地址,游戏类型,运行平台,代币价格,24小时涨跌,代币总价值,游戏市值,设立奖学金的公会,公会合作游戏数量,爬取时间
9,MOBOX,MBOX,bsc,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,"RPG, Metaverse",browser,$0.52 ,4.60%,"$6,978,128 ","$83,457,450 ",Yield Guild Games,41,2022/11/12
9,MOBOX,MBOX,bsc,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,"RPG, Metaverse",browser,$0.52 ,4.60%,"$6,978,128 ","$83,457,450 ",Bayz,31,2022/11/12
10,Vulcan Forged,PYR,ethereum,0x430ef9263e76dae63c84292c3409d61c598e9682,Metaverse,browser,$3.36 ,1.42%,"$26,685,134 ","$80,286,436 ",Yield Guild Games,41,2022/11/12
10,Vulcan Forged,PYR,ethereum,0x430ef9263e76dae63c84292c3409d61c598e9682,Metaverse,browser,$3.36 ,1.42%,"$26,685,134 ","$80,286,436 ",PathDAO,39,2022/11/12
11,Illuvium,ILV,"ethereum,immutable-x",0x767fe9edc9e0df98e07454847909b5e959d7ca0e,"RPG, Auto Battler, Metaverse","windows,mac",$48.49 ,5.62%,"$9,320,416 ","$78,106,027 ",Earn Guild,68,2022/11/12
11,Illuvium,ILV,"ethereum,immutable-x",0x767fe9edc9e0df98e07454847909b5e959d7ca0e,"RPG, Auto Battler, Metaverse","windows,mac",$48.49 ,5.62%,"$9,320,416 ","$78,106,027 ",Yield Guild Games,41,2022/11/12
11,Illuvium,ILV,"ethereum,immutable-x",0x767fe9edc9e0df98e07454847909b5e959d7ca0e,"RPG, Auto Battler, Metaverse","windows,mac",$48.49 ,5.62%,"$9,320,416 ","$78,106,027 ",Merit Circle,34,2022/11/12
11,Illuvium,ILV,"ethereum,immutable-x",0x767fe9edc9e0df98e07454847909b5e959d7ca0e,"RPG, Auto Battler, Metaverse","windows,mac",$48.49 ,5.62%,"$9,320,416 ","$78,106,027 ",Bayz,31,2022/11/12
12,Radio Caca,RACA,bsc,0x12bb890508c125661e03b09ec06e404bc9289040,Metaverse,browser,$0.00 ,2.38%,"$7,940,406 ","$74,114,133 ",,,2022/11/12
13,My Neighbor Alice,ALICE,ethereum,0xac51066d7bec65dc4589368da368b212745d63e8,"Simulation, Metaverse",windows,$1.24 ,5.91%,"$39,492,591 ","$70,731,579 ",Earn Guild,68,2022/11/12
14,Ultra,UOS,ethereum,0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,Other,"windows,pc",$0.23 ,-1.33%,"$1,904,352 ","$62,193,968 ",,,2022/11/12
15,Alien Worlds,TLM,ethereum,0x2222227e22102fe3322098e4cbfe18cfebd57c95,"Card Game, Fighting",browser,$0.02 ,6.60%,"$13,108,322 ","$50,665,126 ",Earn Guild,68,2022/11/12
16,SweatCoin,SWEAT,near,NoAddress,Move To Earn,"android,ios",$0.02 ,-0.10%,"$1,216,782 ","$49,028,471 ",,,2022/11/12
17,Clash Of Lilliput,COL,other,NoAddress,"PVP, Adventure",mobile,$0.59 ,-0.02%,"$8,858 ","$47,930,720 ",,,2022/11/12
18,UFO Gaming,UFO,"bsc,ethereum,polygon,neo",0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,"RPG, Metaverse, Metaverse, PVP, RPG","browser,browser,android,pc,mac",$0 ,1.88%,"$1,977,891 ","$44,194,018 ",Merit Circle,34,2022/11/12
19,Aavegotchi,GHST,ethereum,0x3f382dbd960e3a9bbceae22651e88158d2791550,Metaverse,browser,$1.06 ,0.56%,"$6,142,381 ","$44,144,298 ",Yield Guild Games,41,2022/11/12
19,Aavegotchi,GHST,ethereum,0x3f382dbd960e3a9bbceae22651e88158d2791550,Metaverse,browser,$1.06 ,0.56%,"$6,142,381 ","$44,144,298 ",YGG Sea,40,2022/11/12
19,Aavegotchi,GHST,ethereum,0x3f382dbd960e3a9bbceae22651e88158d2791550,Metaverse,browser,$1.06 ,0.56%,"$6,142,381 ","$44,144,298 ",Blackpool,17,2022/11/12
20,Step App,FITFI,avalanche,0x714f020c54cc9d104b6f4f6998c63ce2a31d1888,Move To Earn,"android,ios",$0.04 ,12.97%,"$11,281,080 ","$38,277,466 ",,,2022/11/12
21,Gods Unchained,GODS,"ethereum,immutable-x",0xccc8cb5229b0ac8069c51fd58367fd1e622afd97,Card Game,browser,$0.25 ,-0.59%,"$3,098,378 ","$35,470,337 ",Blackpool,17,2022/11/12
22,StarLink,STARL,ethereum,0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24,"Adventure, Space Game, Metaverse",browser,$0 ,-0.04%,"$2,483,708 ","$33,415,504 ",,,2022/11/12
23,Guild Of Guardians,GOG,"ethereum,immutable-x",0x9ab7bb7fdc60f4357ecfef43986818a2a3569c62,RPG,"android,ios",$0.11 ,10.55%,"$2,699,498 ","$31,755,447 ",Yield Guild Games,41,2022/11/12
24,DeFi Kingdoms,JEWEL,harmony,0x72cb10c6bfa5624dd07ef608027e366bd690048f,"RPG, Metaverse",browser,$0.22 ,2.58%,"$251,678 ","$24,670,689 ",UniX Gaming,36,2022/11/12
25,League Of Kingdoms,LOKA,ethereum,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,Strategy,"android,ios,browser",$0.31 ,7.30%,"$4,129,437 ","$22,864,120 ",Earn Guild,68,2022/11/12
25,League Of Kingdoms,LOKA,ethereum,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,Strategy,"android,ios,browser",$0.31 ,7.30%,"$4,129,437 ","$22,864,120 ",Yield Guild Games,41,2022/11/12
25,League Of Kingdoms,LOKA,ethereum,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,Strategy,"android,ios,browser",$0.31 ,7.30%,"$4,129,437 ","$22,864,120 ",Avocado DAO,33,2022/11/12
25,League Of Kingdoms,LOKA,ethereum,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,Strategy,"android,ios,browser",$0.31 ,7.30%,"$4,129,437 ","$22,864,120 ",PathDAO,39,2022/11/12
25,League Of Kingdoms,LOKA,ethereum,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,Strategy,"android,ios,browser",$0.31 ,7.30%,"$4,129,437 ","$22,864,120 ",IndiGG,28,2022/11/12
26,Splinterlands,SPS,bsc,0x1633b7157e7638c4d6593436111bf125ee74703f,"Card Game, Strategy","android,ios,browser",$0.04 ,3.22%,"$1,313,411 ","$21,069,514 ",Yield Guild Games,41,2022/11/12
26,Splinterlands,SPS,bsc,0x1633b7157e7638c4d6593436111bf125ee74703f,"Card Game, Strategy","android,ios,browser",$0.04 ,3.22%,"$1,313,411 ","$21,069,514 ",UniX Gaming,36,2022/11/12
26,Splinterlands,SPS,bsc,0x1633b7157e7638c4d6593436111bf125ee74703f,"Card Game, Strategy","android,ios,browser",$0.04 ,3.22%,"$1,313,411 ","$21,069,514 ",Blockchain Space,36,2022/11/12
