,Project,Funding Rounds,Total Funding Amount,Investors,Date,Time of Crawl
164,Wizardia,Private Round,"$4,500,000 ","ExNetwork Capital, Magnus Capital, Stacker Ventures DAO, Nodeseeds, Roseon Finance","Feb 12, 2022",2022/11/12
165,Metan Evolutions,Private Round,"$2,200,000 ","4SV, Insignius Capital, Shima Capital, ZBS Capital, Consensus Capital","Feb 11, 2022",2022/11/12
166,Karmaverse,Seed Round,"$2,000,000 ","YGG SEA, Infinity Ventures Crypto, PANONY","Feb 11, 2022",2022/11/12
167,GAMEE,Strategic Round,"$1,500,000 ",Binance Labs,"Feb 09, 2022",2022/11/12
168,Chain Of Alliance,Private Round,"$2,400,000 ","Kyros Ventures, ExNetwork Capital, Animoca Brands, Spartan Group, Coin98 Ventures, ZBS Capital, Dialectic Capital","Feb 07, 2022",2022/11/12
169,Pixels,Seed Round,"$2,400,000 ","Animoca Brands, PKOInvestments, OpenSea, UntappedCapital, Leonis Capital","Feb 04, 2022",2022/11/12
170,Metarun,Private Round,"$4,000,000 ","AU21 Capital, BBS Finance, X21 Digital, Dutch Crypto Investors, Genblock Capital, Magnus Capital, ZBS Capital, Icetea Labs, Moonrock Capital, Kairon Labs, Poolz","Feb 03, 2022",2022/11/12
171,Galaxy Fight Club,Seed Round,"$7,000,000 ","Animoca Brands, Sequoia Capital, TheCherninGroup, Sky Vision Capital, YGG SEA, Spartan Group, Sfermion, Astronaut Capital, Bondly, Double Peak, Formless Capital, MoonEdge, PANONY, Perion, Rarestone Capital, 18Ventures, Avocado Guild, GerstenbrotCapital, Huobi Capital, Infinity Ventures Crypto, Kucoin Labs, MEXCExchange, PKOInvestments, Polkastarter, Zokyo Ventures, KevinLin, KunGao, MattFinick","Feb 03, 2022",2022/11/12
172,Legends Of Elumia,Private Round,"$4,480,000 ","Animoca Brands, Maven Capital, Bullperks, Good Games Guild, MM Ventures","Feb 02, 2022",2022/11/12
173,Ajuna,Seed Round,"$2,000,000 ","Fundamental Labs, OKX, Signum Capital, Hillrise Capital, PreAngelFund, Longling Capital, GFS Ventures, Double Peak, Youbi Capital, Animoca Brands","Feb 02, 2022",2022/11/12
174,Bullieverse,Private Round,"$4,000,000 ",,"Feb 01, 2022",2022/11/12
175,Crypto Fight Club,Private Round,"$4,660,000 ","DuckDao, SkyBridge 20 Ventures, Legion Ventures, Dutch Crypto Investors, OIG Oracles Investment Group, CSP DAO, DEXT Force Ventures, Maximus Capital, Kangaroo Capital, Bullperks, Deltahub Capital, Seed Thrift Ventures","Jan 31, 2022",2022/11/12
176,Galaxy Blitz,Seed Round,"$10,000,000 ","Bybit, Gate.io Labs, Enjinstarter, Conflux Network, IoTeX","Jan 29, 2022",2022/11/12
177,Mecha Morphing,Private Round,"$4,500,000 ","AU21 Capital, Momentum 6, 3Commas, Spark Digital Capital, Shima Capital, ZBS Capital, HG Ventures (DAS Kapital), AC Capital, Maven Capital, Infinity Ventures Crypto, LucidBlue Ventures, Good Games Guild","Jan 27, 2022",2022/11/12
178,Business Age Of Empires,Seed Round,"$3,000,000 ","DH Capital, GroooInternational, Moonchase Asset Management, MetaUltraHoldings, D.Ragoon","Jan 27, 2022",2022/11/12
179,Cricket Star Manager,Private Round,"$2,000,000 ","Genesis Block Ventures, Spark Digital Capital, Solidity Ventures, Black Edge Capital, Maven Capital, Banter Capital, Oddiyana Ventures","Jan 26, 2022",2022/11/12
180,Arenum,Private Round,"$1,075,000 ","Dutch Crypto Investors, ZBS Capital, Pluto Digital Assets, Newtribe Capital, Basics Capital, 7 O’Clock Capital, Good Games Guild, Crypto Tamil Ventures","Jan 26, 2022",2022/11/12
181,Colizeum,Private Round,"$8,400,000 ","AU21 Capital, X21 Digital, Momentum 6, Dutch Crypto Investors, LD Capital, Genblock Capital, ZBS Capital, Pluto Digital Assets, Axia8 Ventures, SevenX Ventures, Kernel Ventures","Jan 26, 2022",2022/11/12
182,BreederDAO,Series A Round,"$10,000,000 ","Andreessen Horowitz, Delphi Digital, Hashed, Com2uS, Morningstar Ventures, Mechanism Capital, Sfermion, The Lao, Emfarsis","Jan 26, 2022",2022/11/12
183,Kyberdyne,Private Round,"$3,000,000 ","AU21 Capital, BBS Finance, Dutch Crypto Investors, LD Capital, Shima Capital, Kretos Ventures, WhiteList RU, Synapse Ventures, Global Key Investment, Alpha Moon Capital, Red Hat Capital","Jan 23, 2022",2022/11/12
184,Frontera,Strategic Round,-,"WadzPay, Tokoin","Jan 23, 2022",2022/11/12
185,STEPN,Seed Round,"$5,000,000 ","Sequoia Capital, Folius Ventures, Solana Capital, Alameda Research, DeFi Alliance, Sfermion, 6th Man Ventures, Lemniscap, Corner Ventures, M13, Spark Digital Capital, Morningstar Ventures, Openspace Ventures, Solar Eco Fund, WelinderShiCapital","Jan 22, 2022",2022/11/12
186,Heroes Of Mavia,Private Round,"$5,500,000 ","ExNetwork Capital, Mechanism Capital, Delphi Digital, Alameda Research, Animoca Brands, Genblock Capital, HashKey Capital, Double Peak, BITKRAFT Ventures, Binance Labs, Yield Guild Games, Merit Circle Investor","Jan 21, 2022",2022/11/12
187,SharkRace Club,Private Round,"$1,857,400 ",,"Jan 21, 2022",2022/11/12
188,Space Falcon,Seed Round,"$4,000,000 ","Solar Eco Fund, Momentum 6, Maven Capital, Lavender Capital, Magnus Capital, Unanimous Capital, Basics Capital, ExNetwork Capital, Peech Capital, Good Games Guild, ZBS Capital","Jan 20, 2022",2022/11/12
189,Carry1st,Series A Round,"$20,000,000 ","Andreessen Horowitz, Alphabet, Riot Games, Konvoy Ventures, TTV Capital, TheRaineGroup","Jan 20, 2022",2022/11/12
190,Digital Entertainment Asset,Seed Round,"$12,000,000 ","JAFCO, Spartan Group","Jan 20, 2022",2022/11/12
191,MetaGear,Private Round,"$2,800,000 ","Shima Capital, Poolz, SMO Capital, Maven Capital, Kretos Ventures, Bullperks, TK Ventures, Red Hat Capital, Coincu Ventures","Jan 19, 2022",2022/11/12
192,Spellfire,Private Round,"$3,800,000 ","X21 Digital, DAO Maker Investor, Shima Capital, Genblock Capital, Faculty Capital, Autonomy Capital, Maven Capital, IBC Group","Jan 19, 2022",2022/11/12
193,NCore Games,Series A Round,"$10,000,000 ","Animoca Brands, Galaxy Interactive, Polygon, Hyperedge Capital, AmitabhSinghal, SandeepNailwal, KanwaljitBombra, SohilChand, AshishChand, RamMadhvani, RakeshKaul, MannanAdenwala, SanjayNarang, TajHaslani, KristianSegerstrale, SanjayGondal, VedantBaali, KartikPrabhakara, PeterLeung, YashrajAkashi, AkshayChaturvedi","Jan 18, 2022",2022/11/12
194,I WORLD,Seed Round,"$6,800,000 ","Master Ventures, ExNetwork Capital, Polygon, Bullperks, X21 Digital, Roseon Finance, Poolz, WemadeTree, SunHungKai&Co.Limited, Animoca Brands, Part1Capital, Red Kite","Jan 17, 2022",2022/11/12
195,Heroes Chained,Private Round,"$3,137,500 ","Kyros Ventures, Avalanche, LD Capital, OKEx Blockdream Ventures, ROK Capital, Kosmos Ventures, Bering Waters, Avalaunch, MC Ventures (Muhabbit), AVentures Dao, Good Games Guild","Jan 13, 2022",2022/11/12
196,Fan Controlled Football,Series A Round,"$40,000,000 ","Animoca Brands, Delphi Digital, Gemini, 6th Man Ventures, JumpCrypto, Red Beard Ventures, Spartan Group, NGC Ventures, Sebastien Borget, Lightspeed Venture Partners, Talis Capital, Verizon Ventures, CorrelationVentures, BasecampFund","Jan 13, 2022",2022/11/12
197,Klay City,Strategic Round,-,OKX,"Jan 13, 2022",2022/11/12
198,Nunu Spirits,Private Round,"$1,620,000 ","X21 Digital, Magnus Capital, Metrix Capital, Bigcoin Capital, Lupa X Capital, Almora Capital, AZer Capital","Jan 12, 2022",2022/11/12
199,Engines Of Fury,Private Round,"$4,200,000 ","Kyros Ventures, Animoca Brands, LD Capital, Metrix Capital, Double Peak, Dweb3 Capital, Metavest Capital, Good Games Guild","Jan 12, 2022",2022/11/12
200,Kingdom Karnage,Seed Round,"$2,000,000 ","Enjin, ExNetwork Capital, JSquare, Hafen Ventures, AZer Capital, TAG Ventures, OIG Oracles Investment Group, Chronos Ventures, X21 Digital, Enjinstarter","Jan 11, 2022",2022/11/12
201,Tank Wars Zone,Seed Round,"$2,370,000 ","Fantom Foundation, DFG, JSquare, Newave Capital, HyperChain Capital, ZBS Capital, LD Capital, Halvings Capital, StakelyVC, Nodeseeds, Dutch Crypto Investors, CoinLab, Gem Capital, Basics Capital, BCA Investment, Octopus Crypto Capital, Dec Ventures, 7 O’Clock Capital, Maven Capital, Prometeus Labs, KVentureCapital","Jan 11, 2022",2022/11/12
202,Cross The Ages,Private Round,-,"GD10 Ventures, A195 Capital, Mechanism Capital, Morningstar Ventures, Genesis Block Ventures, Dutch Crypto Investors, Moon Inc, Rarestone Capital, Spark Digital Capital, Deep Ventures, Master Ventures","Jan 10, 2022",2022/11/12
203,Infinity Skies,Private Round,"$3,400,000 ","AU21 Capital, GD10 Ventures, BR Capital, Sky Vision Capital, DAO Maker Investor, OKEx Blockdream Ventures, Pluto Digital Assets, Gate.io Labs, Avstar Capital, DEXT Force Ventures, Dweb3 Capital","Jan 06, 2022",2022/11/12
204,Ancient Kingdom,Private Round,"$3,600,000 ","ExNetwork Capital, AU21 Capital, Dutch Crypto Investors, Insignius Capital, DAO Maker Investor, Magnus Capital, Vendetta Capital, PrivCode Capital (MEXC Exchange), R8 Capital, Gains Associates, ReBlock","Jan 06, 2022",2022/11/12
205,Starbots,Private Round,"$2,400,000 ","Kyros Ventures, ExNetwork Capital, DeFi Alliance, OKEx Blockdream Ventures, Bigcoin Capital, Solar Eco Fund, Parsiq, Kyber Network, TomoChain, Lua Ventures, Solana Eco Fund","Jan 04, 2022",2022/11/12
206,Plato Farm,Private Round,"$2,050,000 ","Huobi Capital, OKEx Blockdream Ventures, ZBS Capital, Chronos Ventures, OP Crypto, Cipholio Ventures, Formless Capital, BlockVenture","Jan 03, 2022",2022/11/12
207,Kingdom Karnage,Private Round,"$600,000 ","X21 Digital, Dutch Crypto Investors, OIG Oracles Investment Group, Chronos Ventures, Apollo Capital, TAG Ventures, Dreamboat Capital, AZer Capital, SKYX","Jan 03, 2022",2022/11/12
208,DarleyGo,Seed Round,-,"Jump Capital, GBV Capital, WaterDrip Capital, PANONY, GuildFi, Solar Eco Fund, Athena Ventures, ParibusVentures, Follow the Seed","Jan 02, 2022",2022/11/12
209,More Than Gamers,Seed Round,-,QGlobe,"Dec 31, 2021",2022/11/12
210,Overeality,Seed Round,"$5,000,000 ",DHVC,"Dec 31, 2021",2022/11/12
211,Sportium Fan,Seed Round,-,"Dapper Labs, Libertus Capital, Animoca Brands, Folius Ventures","Dec 29, 2021",2022/11/12
212,Fanfury,Seed Round,"$1,800,000 ","Lunatic Capital, GTCapital, MEXCExchange, Sky Vision Capital, Maven Capital, OIG Investment Group, Black Dragon, ExNetwork Capital","Dec 29, 2021",2022/11/12
213,Game Lounge,Private Round,"$1,775,000 ","ZBS Capital, Dec Ventures, WhiteList RU, Synapse Ventures, LPI DAO, INV Ventures, DCT Capital","Dec 28, 2021",2022/11/12
214,Battle Of Guardians,Private Round,"$4,400,000 ","ExNetwork Capital, Fomocraft Ventures, Titans Ventures, X21 Digital, NGC Ventures, Momentum 6, OIG Oracles Investment Group, Shima Capital, Master Ventures, Magnus Capital, ZBS Capital","Dec 28, 2021",2022/11/12
215,Ertha,Private Round,"$5,400,000 ","AU21 Capital, GD10 Ventures, X21 Digital, Momentum 6, ZBS Capital, HG Ventures (DAS Kapital), Dialectic Capital, Maven Capital, Zen Capital","Dec 27, 2021",2022/11/12
216,Monsterra,Private Round,"$1,560,000 ","Kyros Ventures, Shima Capital, Icetea Labs, Avstar Capital, Red Kite, OneMax Capital, Alpha Moon Capital, GameFi Investor, AZer Capital","Dec 27, 2021",2022/11/12
217,World Of Defish,Private Round,"$360,000 ","Phoenix Crypto VC, Poolz, Moondot Capital, Asteroid Capital, Babylons, AZer Capital","Dec 26, 2021",2022/11/12
218,Katana Inu,Private Round,"$4,750,000 ","LVT Capital, X21 Digital, OIG Oracles Investment Group, Master Ventures, Newtribe Capital, Metrix Capital, Aussie Capital, Girnas Capital, BCA Investment, Seed Thrift Ventures, IBC Group","Dec 26, 2021",2022/11/12
219,Ternoa,Private Round,"$2,200,000 ","Moonrock Capital, Vendetta Capital, Basics Capital, HG Ventures (DAS Kapital), LucidBlue Ventures","Dec 24, 2021",2022/11/12
220,Elfin Kingdom,Private Round,"$5,250,000 ",Merit Circle Investor,"Dec 23, 2021",2022/11/12
221,Dogeon,Private Round,"$2,440,000 ","Fomocraft Ventures, Gains Associates, Avstar Capital, BMW Capital, Kangaroo Capital, Infinity Ventures Crypto, Hafen Ventures","Dec 22, 2021",2022/11/12
222,Himo World,Private Round,"$1,700,000 ","ExNetwork Capital, Insignius Capital, Poolz, Oddiyana Ventures, AZer Capital","Dec 22, 2021",2022/11/12
223,Orbitau,Private Round,"$2,880,000 ","AU21 Capital, GD10 Ventures, X21 Digital, NGC Ventures, LD Capital, Icetea Labs, PrivCode Capital (MEXC Exchange), Lavender Capital, Coincu Ventures","Dec 22, 2021",2022/11/12
224,Luna Rush,Private Round,"$1,120,000 ","X21 Digital, Avstar Capital, Alpha Moon Capital, Dreamboat Capital, Onebit Ventures, Red Hat Capital","Dec 21, 2021",2022/11/12
225,StarSharks,Seed Round,"$4,800,000 ","3Commas, AC Capital, Binance Labs, Banter Capital, Bas1sVentures, Basics Capital, Bigcoin Capital, DAO Maker Investor, Everest Ventures Group, Everse Capital, ExNetwork Capital, ForwardAnalytics, Gate.io Labs, GeekCartel, Genblock Capital, Hyperedge Capital, Drops Ventures, JSquare, Kirin Fund, Krypital Group, Kucoin Labs, LD Capital, Momentum 6, MarketAcross, NGC Ventures, Redline DAO, SkymanVentures, SL2 Capital, Titans Ventures, UNIX, Vendetta Capital, Winkrypto, YBB Foundation, Infinity Ventures Crypto, YGG SEA","Dec 21, 2021",2022/11/12
226,Dogamí,Pre-Seed Round,"$6,000,000 ","Ubisoft, Animoca Brands, Sebastien Borget, ArthurMadrid, XAnge, Blockchain Founders Fund, GHAFCapitalPartners, Draper GorenHolm","Dec 21, 2021",2022/11/12
227,Animverse,Private Round,"$1,650,000 ","Avstar Capital, VBC Ventures, BSC Station, Onebit Ventures, Clovers Ventures, RR2 Capital","Dec 20, 2021",2022/11/12
228,Cowboy Snake,Seed Round,"$2,100,000 ","UFIN, ThuanCapital, OrenCTVentures, Onus, MoniHub, MEXCExchange, KiwiGROUP, Krypital Group","Dec 20, 2021",2022/11/12
229,Codyfight,Private Round,"$2,640,000 ","Kyros Ventures, DAO Maker Investor, Wings Ventures, Raptor Capital, Digital Strategies, Dweb3 Capital, Evangelion Capital, Impossible Finance Investor","Dec 19, 2021",2022/11/12
230,Space Crypto,Private Round,"$2,000,000 ","DAO Maker Investor, Avstar Capital, HG Ventures (DAS Kapital), Maven Capital, Red Hat Capital, BAS Ventures, KV Ventures","Dec 18, 2021",2022/11/12
231,Galaxy War,Private Round,"$3,400,000 ","Titans Ventures, GD10 Ventures, HG Ventures (DAS Kapital), Bullperks, Alpha Moon Capital, Onebit Ventures, Wildcat Ventures, Seed Thrift Ventures, IBC Group, RR2 Capital, GemsLab Ventures, Qu Ventures","Dec 18, 2021",2022/11/12
232,Wam,Private Round,"$2,260,000 ","X21 Digital, DAO Maker Investor, Signal Ventures, Gate.io Labs, Basics Capital, Double Peak, Grizzly Capital, Dec Ventures, LucidBlue Ventures","Dec 17, 2021",2022/11/12
233,Battle Saga,Private Round,"$1,920,000 ","ExNetwork Capital, BBS Finance, Dutch Crypto Investors, Magnus Capital, Avalon Wealth Club, Halvings Capital, Fairum, Oddiyana Ventures, GameFi Investor, CTG Capital, COINTCS Ventures","Dec 17, 2021",2022/11/12
234,Satoshi City,Private Round,"$4,152,500 ","Dutch Crypto Investors, OIG Oracles Investment Group, Magnus Capital, Polygon Studios, Kangaroo Capital, Avalon Wealth Club, Halvings Capital, Synapse Ventures, Kommunitas, Coincu Ventures, CTG Capital","Dec 17, 2021",2022/11/12
235,Rise Of Defenders,Private Round,"$2,050,000 ","ExNetwork Capital, AU21 Capital, 4SV, Magnus Capital, ZBS Capital, Blockpact Capital, R8 Capital, Avstar Capital, VBC Ventures, Metrix Capital, Lupa X Capital","Dec 17, 2021",2022/11/12
236,Gamesta,Private Round,"$6,400,000 ","Legion Ventures, Chain Capital, Grizzly Capital, BrotherHood Ventures, Oxbull, BCA Investment, LPI DAO","Dec 16, 2021",2022/11/12
237,Universe Island,Private Round,"$4,520,000 ","DuckDao, Dutch Crypto Investors, OIG Oracles Investment Group, Blockpact Capital, CSP DAO, Avstar Capital, BMW Capital, Parsiq, Dec Ventures, Kangaroo Capital, BrotherHood Ventures","Dec 16, 2021",2022/11/12
238,Astro Verse,Private Round,"$1,500,000 ","AU21 Capital, BSC Station, MH Ventures","Dec 16, 2021",2022/11/12
239,League Of Kingdoms,Private Round,"$3,100,000 ","Hashed, Sky Vision Capital, Andreessen Horowitz, BlockTower Capital, Binance Labs, Sequoia Capital","Dec 16, 2021",2022/11/12
240,CyBall,Seed Round,"$1,800,000 ","BITKRAFT Ventures, Impossible Finance Investor, Animoca Brands, Ascensive Assets, Yield Guild Games, Merit Circle Investor, GuildFi, Ancient8, Avocado Guild, Good Games Guild, Coin98 Ventures, Raydium, Lua Ventures, ROK Capital, PANONY, Sky Vision Capital, MEXCExchange, GabbyDizon, TrungNguyen, DarrenLau, Cryptopathic, TaschaPunyaneramitdee, LoiLuu, KevinLu, OrPerelman","Dec 16, 2021",2022/11/12
241,Legends Of Mitra,Private Round,"$1,000,000 ","ExNetwork Capital, X21 Digital, Momentum 6, 3Commas, Shima Capital, OKEx Blockdream Ventures, Icetea Labs, Youbi Capital, Metrix Capital, Basics Capital, Dweb3 Capital","Dec 15, 2021",2022/11/12
242,Angels Creed,Private Round,"$600,000 ","AU21 Capital, ZBS Capital, Basics Capital, BSC Station, Alpha Moon Capital, Onebit Ventures, idoresearch.ventures, RR2 Capital, DCT Capital","Dec 14, 2021",2022/11/12
243,Moonray,Seed Round,"$3,500,000 ","StacksAccelerator, Animoca Brands, SBXCapital, NewLayerCapital, GBV Capital, Cointelligence Fund, Fairum, GossamerCapital, OIG Investment Group, ExNetwork Capital, Metavest Capital, LucidBlue Ventures, LD Capital, Dweb3 Capital, ChampionHillVentures, Sfermion, LongHash Ventures, Deltahub Capital, DeSpread, CSP DAO, AlphaCryptoCapital","Dec 14, 2021",2022/11/12
244,Rumble Kong League,Seed Round,"$4,500,000 ","JDSSports, CAASports, Framework Ventures, IDEO CoLab Ventures, Animoca Brands, Sky Vision Capital, PaulGeorge, VictoryCreativeGroup, Sebastien Borget, ArthurMadrid","Dec 14, 2021",2022/11/12
245,SOUNI ,Private Round,"$2,900,000 ","Kyros Ventures, ExNetwork Capital, AU21 Capital, X21 Digital, Shima Capital, ZBS Capital, YBB Foundation, VBC Ventures, Launch Zone, Infinity Capital, Kretos Ventures","Dec 13, 2021",2022/11/12
246,Chumbi Valley,Private Round,"$1,000,000 ","Spark Digital Capital, Orion Protocol, Raptor Capital, Three M Capital, Cinch Block, Maven Capital, Everse Capital, Kucoin Labs, Asteroid Capital, TK Ventures, OnBlock Ventures, Lavender Capital","Dec 13, 2021",2022/11/12
247,VOID,Private Round,"$4,600,000 ","DuckDao, Dutch Crypto Investors, Shima Capital, Genblock Capital, Magnus Capital, DEXT Force Ventures, Maven Capital, Everse Capital","Dec 13, 2021",2022/11/12
248,The Parallel,Seed Round,"$4,300,000 ","Kyber Network, OKX, Moonrock Capital, GD10 Ventures, Signum Capital, UG Ventures, RADACommunity, Coincu Ventures","Dec 13, 2021",2022/11/12
249,AcadArena,Seed Round,"$3,500,000 ","1kx, Hashed, PKOInvestments, Kingsway Capital, Iterative, Infinity Ventures Crypto, EdenHoldings, HustleFund, KevinLin, KunGao, HollyLiu, PatrickLee, JeffZirlin, StephenEllis, MichaelChow, RayChan, YatSiu, AldrichTan, JonathanShipman","Dec 13, 2021",2022/11/12
250,MetaRacers,Private Round,"$1,770,000 ","AU21 Capital, Legion Ventures, Lotus Capital, Basics Capital, Alpha Moon Capital, Dreamboat Capital, Onebit Ventures, Infinity Ventures Crypto, Coincu Ventures, BAS Ventures, Traveler Capital","Dec 12, 2021",2022/11/12
251,Ftribe Fighters,Private Round,"$2,792,000 ","DAO Maker Investor, Icetea Labs, Raptor Capital, Red Kite, GameFi Investor, Lighthouse Ventures, Lavender Capital","Dec 12, 2021",2022/11/12
252,Stay In Destiny World,Private Round,"$1,450,000 ","AU21 Capital, Titans Ventures, Magnus Capital, ZBS Capital, Panda Capital, VBC Ventures, Chronos Ventures, Maven Capital, Asteroid Capital, VeriChains Lab, Avalon Wealth Club","Dec 12, 2021",2022/11/12
253,Solice,Seed Round,"$4,300,000 ","Three Arrows Capital, DeFiance Capital, Animoca Brands, Genblock Capital, Alameda Research, Solanium, CMS Holdings, Jump Capital, Sky Vision Capital, Kucoin Labs, TK Ventures","Dec 12, 2021",2022/11/12
254,MetaGods,Private Round,"$3,800,000 ","Hashed, Magnus Capital, Icetea Labs, Raptor Capital, Cinch Block, Faculty Capital, CoinUnited Capital, Banter Capital","Dec 10, 2021",2022/11/12
255,GemUni,Private Round,"$2,000,000 ","Kyros Ventures, ExNetwork Capital, Shima Capital, ZBS Capital, Gains Associates, HG Ventures (DAS Kapital), Coincu Ventures, Kyber Network, KiwiGROUP","Dec 11, 2021",2022/11/12
256,Rainmaker Games,Seed Round,"$6,500,000 ","Alameda Research, Animoca Brands, Polygon Studios, CoinFund, RepublicRealm, Sky Vision Capital, Merit Circle Investor, Genblock Capital, DraftVentures, Liberty CityVentures, CMS Holdings","Dec 09, 2021",2022/11/12
257,Palm NFT Studio,Series B Round,"$27,000,000 ","M12, Griffin Gaming Partners, RREVentures, 3KVC, Sfermion, The Lao, WarnerBros., SKInc.","Dec 09, 2021",2022/11/12
258,Defiance Games,Pre-Seed Round,"$100,000 ",Antler,"Dec 09, 2021",2022/11/12
259,Arker,Private Round,"$2,410,460 ","ExNetwork Capital, X21 Digital, Momentum 6, Spark Digital Capital, Magnus Capital, Avstar Capital, Raptor Capital, Basics Capital, Cinch Block, Blockchain Israel, Maven Capital","Dec 08, 2021",2022/11/12
260,Starly,Private Round,"$6,100,000 ","Animoca Brands, Spartan Group, Momentum 6, LD Capital, Sky Vision Capital, Spark Digital Capital, Shima Capital, ZBS Capital, Pluto Digital Assets, Axia8 Ventures, Moonrock Capital","Dec 07, 2021",2022/11/12
261,Cowboy Snake,Private Round,"$2,100,000 ","Avstar Capital, OnBlock Ventures, Onebit Ventures, CoinF Ventures, BAS Ventures, KV Ventures, ARC Ventures","Dec 07, 2021",2022/11/12
262,CryptoTanks,Private Round,"$1,190,000 ","AU21 Capital, LVT Capital, Magnus Capital, Gains Associates, Fairum","Dec 06, 2021",2022/11/12
263,Zombie World Z,Private Round,"$1,625,000 ","Titans Ventures, X21 Digital, Spark Digital Capital, ZBS Capital, BSC Station, Onebit Ventures, KV Ventures","Dec 06, 2021",2022/11/12
264,Nitro League,Private Round,"$5,000,000 ","NGC Ventures, Morningstar Ventures, LD Capital, Huobi Capital, ZBS Capital, Axia8 Ventures, SL2 Capital, Double Peak, Yield Guild Games, Woodstock Fund, Extra Watts, Infinity Ventures Crypto","Dec 06, 2021",2022/11/12
265,The Wasted Lands,Private Round,"$2,300,000 ","X21 Digital, Momentum 6, Genblock Capital, Magnus Capital, OKEx Blockdream Ventures, WaterDrip Capital, Avstar Capital, Panda Capital, VBC Ventures, Bigcoin Capital, Basics Capital","Dec 06, 2021",2022/11/12
266,Last Survivor,Private Round,"$2,655,360 ","AU21 Capital, X21 Digital, Dreamboat Capital, Onebit Ventures, Azcoinvest, Seed Thrift Ventures, Enjinstarter, Seedify, Gem Capital, Traveler Capital, R-930 Capital","Dec 05, 2021",2022/11/12
267,Monster Battle,Private Round,"$650,000 ","Legion Ventures, OIG Oracles Investment Group, Avstar Capital, Infinity Gainz, Oddiyana Ventures, Babylons, Thinksmart Brother, BullishBlock Capital, Asteroid Ventures, INTR Ventures, DCT Capital","Dec 05, 2021",2022/11/12
268,Affyn,Private Round,"$7,300,000 ","Dutch Crypto Investors, BrotherHood Ventures, Kommunitas, Red Hat Capital, Thinksmart Brother, BullishBlock Capital, Three Lions Capital","Dec 03, 2021",2022/11/12
269,Zomfi,Private Round,"$2,600,000 ","ExNetwork Capital, Titans Ventures, X21 Digital, Legion Ventures, Dutch Crypto Investors, OIG Oracles Investment Group, Magnus Capital, Gains Associates, Basics Capital, BMW Capital, Maven Capital","Dec 02, 2021",2022/11/12
270,Kryxivia,Private Round,"$600,000 ","Everse Capital, Bullperks, Starter Capital, DCT Capital","Dec 02, 2021",2022/11/12
271,CryptoVsZombie,Private Round,"$2,325,000 ",,"Dec 02, 2021",2022/11/12
272,KingdomX,Private Round,"$2,090,000 ","LongHash Ventures, LD Capital, DAO Maker Investor, Signum Capital, Double Peak, Dweb3 Capital, Maven Capital, Gamestarter, Good Games Guild","Dec 02, 2021",2022/11/12
273,Crypto Fight Club,Seed Round,"$3,150,000 ","AU21 Capital, X21 Digital, Genesis Block Ventures, Shima Capital, Maven Capital, RR2 Capital","Nov 30, 2021",2022/11/12
274,Geopoly,Private Round,"$2,300,000 ","AU21 Capital, GD10 Ventures, X21 Digital, Dutch Crypto Investors, OIG Oracles Investment Group, Insignius Capital, Arkn, Solana Capital, Avalon Wealth Club, Kent Capital VC, LPI DAO","Nov 30, 2021",2022/11/12
275,ZEPETO,Series B Round,"$189,000,000 ","SoftBank, HYBE, Mirae Asset Global Investments, NaverWebtoon, JYP","Nov 30, 2021",2022/11/12
276,Meland.Ai,Private Round,"$2,100,000 ","ExNetwork Capital, AU21 Capital, Titans Ventures, X21 Digital, Momentum 6, ZBS Capital, Gains Associates, Avstar Capital, Panda Capital, Basics Capital","Nov 29, 2021",2022/11/12
277,Diviner Protocol,Private Round,"$1,255,000 ","Spark Digital Capital, ZBS Capital, Banter Capital","Nov 29, 2021",2022/11/12
278,Imperium Empires,Private Round,"$2,000,000 ","Kyros Ventures, Genesis Block Ventures, Avalanche, CMS Holdings, A&amp;T Capital, BenQi, Avatar, Keychain Capital","Nov 29, 2021",2022/11/12
279,Metastrike,Private Round,"$3,300,000 ","ExNetwork Capital, GD10 Ventures, X21 Digital, Shima Capital, Master Ventures, Magnus Capital, Gains Associates, Maven Capital, Jump Capital, Seedify, Dreamboat Capital","Nov 25, 2021",2022/11/12
280,Hydraverse,Private Round,"$1,700,000 ","ExNetwork Capital, X21 Digital, BSC News, VBC Ventures, Everse Capital, Avalon Wealth Club, Alpha Moon Capital, Roseon Finance, Almora Capital","Nov 25, 2021",2022/11/12
281,Gunstar Metaverse,Private Round,"$2,300,000 ","Hashed, Spark Digital Capital, DAO Maker Investor, Magnus Capital, Icetea Labs, Wings Ventures, Raptor Capital, Black Ventures","Nov 24, 2021",2022/11/12
282,Atlantis Metaverse,Private Round,"$1,950,000 ","Legion Ventures, LD Capital, ZBS Capital, Poolz, Basics Capital, SMO Capital, Maven Capital, Aussie Capital, Asteroid Capital, Oddiyana Ventures, Dreamboat Capital","Nov 24, 2021",2022/11/12
283,Happy Land,Private Round,"$2,970,000 ","Kyros Ventures, AU21 Capital, ZBS Capital, Gains Associates, Kryptos Research, SMO Capital, DEXT Force Ventures, Maven Capital, Kyber Network, Kucoin Labs, Banter Capital, TK Ventures","Nov 24, 2021",2022/11/12
