,Project,Funding Rounds,Total Funding Amount,Investors,Date,Time of Crawl
46,Panzerdogs,Strategic Round,"$3,350,000 ","Solana Ventures, Com2uS, Big Brain Holdings","Aug 03, 2022",2022/11/12
47,Ambrus Studio,Unknown Round,-,"Spartan Group, 6th Man Ventures, Axia8 Ventures, Krypital Group","Jul 28, 2022",2022/11/12
48,Stadium Live,Series A Round,"$12,800,000 ","KB Partners, Union Square Ventures","Jul 28, 2022",2022/11/12
49,Players’ Lounge,Series A Round,"$10,500,000 ","Griffin Gaming Partners, WndrCo","Jul 28, 2022",2022/11/12
50,Aftermath Islands,Unknown Round,"$25,000,000 ",LDA Capital,"Jul 26, 2022",2022/11/12
51,Alchemon,Seed Round,"$1,000,000 ",Borderless Capital,"Jul 25, 2022",2022/11/12
52,ReNFT,Seed Round,"$5,000,000 ","Mechanism Capital, Gumi Cryptos","Jul 27, 2022",2022/11/12
53,Magicave,Seed Round,"$6,400,000 ","Fabric Ventures, BITKRAFT Ventures","Jul 27, 2022",2022/11/12
54,Cryptoys,Series A Round,"$23,000,000 ","CoinFund, Dapper Labs, Animoca Brands","Jun 23, 2022",2022/11/12
55,Mighty Bear Games,Unknown Round,"$10,000,000 ","Framework Ventures, Mirana Ventures, Spartan Group, Sfermion, Sanctor Capital, Folius Ventures, Polygon, Ready Player DAO","Jul 26, 2022",2022/11/12
56,Astro Space,Pre-Seed Round,"$25,000,000 ","Solana Ventures, Blocore, Infinity Ventures Crypto","Jul 19, 2022",2022/11/12
57,Playdex,Seed Round,"$2,000,000 ",PDAX,"Jun 02, 2022",2022/11/12
58,Voyage Finance,Pre-Seed Round,"$1,000,000 ","Delphi Digital, BlockchainSpace, PathDAO","May 20, 2022",2022/11/12
59,Frutti Dino,Unknown Round,"$3,100,000 ",Koreit,"May 04, 2022",2022/11/12
