,游戏名称,设立奖学金的公会,公会合作游戏数量,爬取时间
70,MetaSoccer,Bayz,31,2022/11/12
70,MetaSoccer,Blackpool,17,2022/11/12
71,Nakamoto Games,,,2022/11/12
72,DOSE,,,2022/11/12
73,Realm,,,2022/11/12
74,BattleBonk,,,2022/11/12
75,NFT Worlds,,,2022/11/12
76,Defi Land,,,2022/11/12
77,Crazy Defense Heroes,Yield Guild Games,41,2022/11/12
78,Block Duelers,,,2022/11/12
79,My DeFi Pet,,,2022/11/12
80,Celestial,,,2022/11/12
81,Gamestarter,MetaGaming Guild,41,2022/11/12
82,Island Of Aura,,,2022/11/12
83,Gold Fever,MetaGaming Guild,41,2022/11/12
84,BreederDAO,Cosmic Guild,15,2022/11/12
84,BreederDAO,IndiGG,28,2022/11/12
84,BreederDAO,Earn Guild,68,2022/11/12
85,Binamon,,,2022/11/12
86,ZooKeeper,,,2022/11/12
87,VCGamers,,,2022/11/12
88,KleeRun,,,2022/11/12
89,Polkacity,,,2022/11/12
90,Blockchain Monster Hunt,Play It Forward DAO,25,2022/11/12
91,Starship,,,2022/11/12
92,Decimated,Good Games Guild,77,2022/11/12
93,Roco Finance,,,2022/11/12
94,KomNPlay,,,2022/11/12
95,Dope Wars,,,2022/11/12
96,SolChicks,Earn Guild,68,2022/11/12
96,SolChicks,Blockchain Space,36,2022/11/12
96,SolChicks,YGG Sea,40,2022/11/12
97,DEEPSPACE,,,2022/11/12
98,Froyo Games,Good Games Guild,77,2022/11/12
98,Froyo Games,Hooga Gaming,10,2022/11/12
99,DinoX,MetaGaming Guild,41,2022/11/12
99,DinoX,Good Games Guild,77,2022/11/12
99,DinoX,Bayz,31,2022/11/12
100,9D NFT,,,2022/11/12
101,Outer Ring,,,2022/11/12
102,Wam,MetaGaming Guild,41,2022/11/12
103,Spheroid Universe,,,2022/11/12
104,Kitsumon,MetaGaming Guild,41,2022/11/12
104,Kitsumon,Good Games Guild,77,2022/11/12
105,Human: Memento,,,2022/11/12
106,Revomon,,,2022/11/12
107,Crabada,Salad Ventures,10,2022/11/12
108,Bullieverse,Good Games Guild,77,2022/11/12
109,CryptoBlades,,,2022/11/12
110,Seascape Crowns,,,2022/11/12
111,Crypto Raiders,GuildFi,25,2022/11/12
111,Crypto Raiders,Merit Circle,34,2022/11/12
112,Trivians,,,2022/11/12
113,Calo,,,2022/11/12
114,VIDT Datalink,,,2022/11/12
115,Trade Race Manager,,,2022/11/12
116,FEAR,,,2022/11/12
117,Monsta Infinite,,,2022/11/12
118,Galaxy Fight Club,Perion,9,2022/11/12
118,Galaxy Fight Club,PathDAO,39,2022/11/12
118,Galaxy Fight Club,YGG Sea,40,2022/11/12
119,Cometh,Blackpool,17,2022/11/12
120,Gaia Everworld,,,2022/11/12
121,Heroes & Empires,UniX Gaming,36,2022/11/12
121,Heroes & Empires,Bayz,31,2022/11/12
122,Gunstar Metaverse,MetaGaming Guild,41,2022/11/12
122,Gunstar Metaverse,Earn Guild,68,2022/11/12
123,Galaxy Blitz,Earn Guild,68,2022/11/12
124,OpenWorld,,,2022/11/12
125,Alchemy Arena,,,2022/11/12
126,Wanaka Farm,Blockchain Space,36,2022/11/12
127,Duel Network,,,2022/11/12
128,Dark Frontiers,MetaGaming Guild,41,2022/11/12
128,Dark Frontiers,Earn Guild,68,2022/11/12
129,Battle Pets,,,2022/11/12
130,Arcona,,,2022/11/12
131,Pegaxy,Cosmic Guild,15,2022/11/12
131,Pegaxy,GuildFi,25,2022/11/12
131,Pegaxy,Good Games Guild,77,2022/11/12
131,Pegaxy,UniX Gaming,36,2022/11/12
131,Pegaxy,Play It Forward DAO,25,2022/11/12
131,Pegaxy,Bayz,31,2022/11/12
131,Pegaxy,Salad Ventures,10,2022/11/12
131,Pegaxy,IndiGG,28,2022/11/12
132,Wall Street Games,,,2022/11/12
133,Katana Inu,Earn Guild,68,2022/11/12
134,Nitro League,GuildFi,25,2022/11/12
134,Nitro League,Yield Guild Games,41,2022/11/12
134,Nitro League,UniX Gaming,36,2022/11/12
134,Nitro League,Blockchain Space,36,2022/11/12
134,Nitro League,Play It Forward DAO,25,2022/11/12
134,Nitro League,YGG Sea,40,2022/11/12
134,Nitro League,MetaGaming Guild,41,2022/11/12
134,Nitro League,Earn Guild,68,2022/11/12
135,Faraland,Earn Guild,68,2022/11/12
135,Faraland,Good Games Guild,77,2022/11/12
135,Faraland,Salad Ventures,10,2022/11/12
136,MoveZ,,,2022/11/12
137,Mist,,,2022/11/12
138,MicroPets,,,2022/11/12
139,Revolve Games,,,2022/11/12
140,Fief Guild,,,2022/11/12
141,CryptoZoon,,,2022/11/12
142,Polker,,,2022/11/12
143,RUN TOGETHER,,,2022/11/12
144,Etermon,,,2022/11/12
145,Pocket Arena,,,2022/11/12
146,The Crypto Prophecies,,,2022/11/12
147,Chain Of Legends,,,2022/11/12
148,Gamerse,,,2022/11/12
149,WIRTUAL,,,2022/11/12
150,Cryptopolis,,,2022/11/12
151,Nifty League,,,2022/11/12
152,Metastrike,Earn Guild,68,2022/11/12
152,Metastrike,Good Games Guild,77,2022/11/12
153,Kalao,,,2022/11/12
154,Night Life Crypto,,,2022/11/12
