,Name,Investor Type,Total Investment,Current ROI,Ath ROI,Top3 ROI,Time of Crawl
236,defi-alliance,Crypto Ventures,3,0.42x,3.1x,Starbots(0.42x ),2022/11/12
237,poolz,Project Based,18,0.42x,50.53x,"Pegaxy(2.08x ), Wanaka Farm(1.3x ), Metarun(0.65x )",2022/11/12
238,kretos-ventures,Marketing Support,4,0.42x,52.06x,"MetaGear(0.59x ), SpaceY 2025(0.5x ), Kyberdyne(0.18x )",2022/11/12
239,bigcoin-capital,Crypto Ventures,7,0.41x,42.64x,"Nunu Spirits(0.61x ), The Wasted Lands(0.45x ), Starbots(0.42x )",2022/11/12
240,bullperks,Project Based,13,0.4x,22.92x,"Kryxivia(1.46x ), MetaGear(0.59x ), Crypto Fight Club(0.4x )",2022/11/12
241,girnas-capital,Crypto Ventures,1,0.39x,22.75x,Katana Inu(0.39x ),2022/11/12
242,gemslab-ventures,Crypto Ventures,3,0.38x,32.36x,"Ninneko(0.63x ), Galaxy War(0.12x )",2022/11/12
243,oxbull,Project Based,4,0.38x,107.83x,"Wanaka Farm(1.3x ), Space Sip(0.11x ), The Monopolist(0.06x )",2022/11/12
244,unanimous-capital,Non-Crypto Capital,4,0.38x,10.28x,"Space Falcon(0.71x ), The Realm Defenders(0.04x )",2022/11/12
245,1010-capital,Non-Crypto Capital,2,0.38x,57.08x,"Kaby Arena(0.63x ), Step Hero(0.14x )",2022/11/12
246,dreamboat-capital,Crypto Ventures,18,0.37x,51.47x,"Metastrike(1.51x ), WidiLand(0.89x ), Bomb Crypto(0.76x )",2022/11/12
247,ego-crypto,Crypto Ventures,1,0.37x,31.17x,Monsta Infinite(0.37x ),2022/11/12
248,oddiyana-ventures,Crypto Ventures,10,0.37x,14.39x,"Cricket Star Manager(1.06x ), WidiLand(0.89x ), Himo World(0.53x )",2022/11/12
249,bsc-station,Project Based,7,0.37x,33.47x,"WidiLand(0.89x ), Zombie World Z(0.43x ), Oly Sport(0.23x )",2022/11/12
250,azer-capital,Crypto Ventures,6,0.37x,41.28x,"Nunu Spirits(0.61x ), Himo World(0.53x ), Kingdom Karnage(0.27x )",2022/11/12
251,kirin-fund,,2,0.37x,31.17x,Monsta Infinite(0.37x ),2022/11/12
252,dreamboat-capital,Crypto Ventures,18,0.37x,51.47x,"Metastrike(1.51x ), WidiLand(0.89x ), Bomb Crypto(0.76x )",2022/11/12
253,sotatek,Developers Support,2,0.36x,21.44x,Elpis Battle(0.36x ),2022/11/12
254,chronos-ventures,,10,0.36x,21.4x,"Titan Hunters(0.9x ), Stay In Destiny World(0.51x ), Kingdom Karnage(0.27x )",2022/11/12
255,defi-capital,,6,0.36x,21.44x,Elpis Battle(0.36x ),2022/11/12
256,avstar-capital,Crypto Ventures,34,0.36x,57.84x,"Elemon(1.27x ), Moo Monster(0.93x ), Titan Hunters(0.9x )",2022/11/12
257,halvings-capital,Crypto Ventures,11,0.36x,29.64x,"H3RO3S(0.81x ), MetaGaming Guild(0.75x ), Oly Sport(0.23x )",2022/11/12
258,extra-watts,Crypto Ventures,1,0.36x,3.67x,Nitro League(0.36x ),2022/11/12
259,woodstock-fund,Crypto Ventures,2,0.36x,3.67x,Nitro League(0.36x ),2022/11/12
260,lancer-capital,Crypto Ventures,3,0.34x,66.76x,"SpaceY 2025(0.5x ), Legend of Fantasy War(0.17x )",2022/11/12
261,kryptos-research,,1,0.34x,27.31x,Happy Land(0.34x ),2022/11/12
262,lighthouse-ventures,Crypto Ventures,2,0.34x,37.42x,"Ftribe Fighters(0.54x ), Galactic Arena: The NFTverse(0.15x )",2022/11/12
263,bbs-finance,Crypto Ventures,4,0.34x,9.44x,"Metarun(0.65x ), Monsters Clan(0.46x ), Kyberdyne(0.18x )",2022/11/12
264,linkpad-vc,Crypto Ventures,1,0.33x,43x,The Three Kingdoms(0.33x ),2022/11/12
265,boxmining,Marketing Support,1,0.33x,43x,The Three Kingdoms(0.33x ),2022/11/12
266,csp-dao,,11,0.32x,24.34x,"H3RO3S(0.81x ), OneRare(0.54x ), Crypto Fight Club(0.4x )",2022/11/12
267,minted-lab,Crypto Ventures,5,0.32x,37.9x,"ProjectOasis(0.98x ), Hero Arena(0.17x ), Starchi(0.13x )",2022/11/12
268,infinity-capital,Marketing Support,8,0.32x,52.36x,"Elemon(1.27x ), HeroFi(0.26x ), Warena(0.26x )",2022/11/12
269,vbc-ventures,,19,0.31x,25.83x,"Moo Monster(0.93x ), RaceFi(0.62x ), Green Beli(0.56x )",2022/11/12
270,babylons,Project Based,7,0.31x,67.31x,"Wanaka Farm(1.3x ), TaleCraft(0.27x ), ECIO Space(0.24x )",2022/11/12
271,rd-labs-rug-detectives,Project Based,2,0.3x,16.28x,"9D NFT(0.46x ), Starchi(0.13x )",2022/11/12
272,deltahub-capital,Crypto Ventures,6,0.3x,32.1x,"Crypto Fight Club(0.4x ), GemGuardian(0.2x )",2022/11/12
273,arkstream-capital,,5,0.28x,13.29x,"OneRare(0.54x ), Cryptia(0.04x )",2022/11/12
274,lvt-capital,Non-Crypto Capital,4,0.28x,21.42x,"CryptoTanks(0.43x ), Katana Inu(0.39x ), Chimeras(0.04x )",2022/11/12
275,red-kite,Project Based,10,0.28x,30.86x,"Ftribe Fighters(0.54x ), Bemil(0.28x ), Warena(0.26x )",2022/11/12
276,waterdrip-capital,Crypto Ventures,4,0.28x,6.06x,"The Wasted Lands(0.45x ), Soccer Hub(0.11x )",2022/11/12
277,parsiq,Project Based,2,0.28x,3.22x,"Starbots(0.42x ), Universe Island(0.15x )",2022/11/12
278,skyx,Crypto Ventures,1,0.27x,4.03x,Kingdom Karnage(0.27x ),2022/11/12
279,ub-ventures,Crypto Ventures,2,0.27x,27.52x,"Moniwar(0.28x ), HeroFi(0.26x )",2022/11/12
280,apollo-capital,,2,0.27x,4.03x,Kingdom Karnage(0.27x ),2022/11/12
281,alpha-moon-capital,Crypto Ventures,21,0.27x,56.92x,"WidiLand(0.89x ), H3RO3S(0.81x ), Bomb Crypto(0.76x )",2022/11/12
282,ferrum-network,Project Based,1,0.27x,83x,TaleCraft(0.27x ),2022/11/12
283,smo-capital,,7,0.26x,44.5x,"MetaGear(0.59x ), Happy Land(0.34x ), The Three Kingdoms(0.33x )",2022/11/12
284,genesis-builders-fund,Developers Support,1,0.26x,40.67x,Warena(0.26x ),2022/11/12
285,paid-network,Project Based,1,0.26x,40.67x,Warena(0.26x ),2022/11/12
286,arc-ventures,Crypto Ventures,1,0.26x,6.65x,Cowboy Snake(0.26x ),2022/11/12
