,游戏名称,IDO,筹款目标,发行资产,Time of Crawl
112,League of Empires,IDO on TrustPad,"$380,000 ",Token Sale,2022/11/12
113,PlayZap,IDO on TrustPad,"$142,505 ",Token Sale,2022/11/12
114,DEFY,IDO on Polkastarter,"$400,000 ",Token Sale,2022/11/12
115,Project Hive,IDO on SolRazr,-,Token Sale,2022/11/12
116,The Next War,IDO on Enjinstarter,"$250,000 ",Token Sale,2022/11/12
117,PlayZap,IDO on Gamestarter,"$100,000 ",Token Sale,2022/11/12
118,Fight Of The Ages,IDO on MoonStarter,-,Token Sale,2022/11/12
119,Reign of Terror,IDO on Enjinstarter,"$150,000 ",Token Sale,2022/11/12
120,Cryptochi,IDO on Gamestarter,"$178,000 ",Token Sale,2022/11/12
121,Project Hive,IDO on Gamestarter,"$100,000 ",Token Sale,2022/11/12
122,Football Battle,IDO on Kommunitas,"$100,000 ",Token Sale,2022/11/12
123,Axes Metaverse,IDO on Enjinstarter,"$300,000 ",Token Sale,2022/11/12
124,PlayZap,IDO on Enjinstarter,"$250,000 ",Token Sale,2022/11/12
125,PlayZap,IDO on MoonStarter,"$100,000 ",Token Sale,2022/11/12
126,Boss Fighters,IDO on Enjinstarter,"$250,000 ",Token Sale,2022/11/12
127,Fight Legends,IDO on MoonStarter,"$25,000 ",Token Sale,2022/11/12
128,Reign of Terror,IDO on Solanium,"$500,000 ",Token Sale,2022/11/12
129,MetaShooter,IDO on Starter,-,Token Sale,2022/11/12
130,Oceanland,IDO on Red Kite,"$288,000 ",Token Sale,2022/11/12
131,GEMS - Esports 3.0 Platform,IDO on DuckSTARTER,-,Token Sale,2022/11/12
132,SharkRace Club,IDO on Synapse Network,"$100,000 ",Token Sale,2022/11/12
133,Crypto Citizen,IDO on FireStarter,"$200,000 ",Token Sale,2022/11/12
134,SharkRace Club,IDO on Seedify,"$350,000 ",Token Sale,2022/11/12
135,SharkRace Club,Private on Seedify,"$120,000 ",Token Sale,2022/11/12
